,Name,Image_x,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances,Rank_Overall,Rank,Image_y,Updated Date,Tier
323,Julian,https://vignette.wikia.nocookie.net/animalcrossing/images/0/00/Julian_HD.png/revision/latest/scale-to-width-down/350?cb=20180405151710,Male,Smug,Horse,March 15th (Pisces),Pisces,"""glitter""",Twinkle Tee,A mythical home,Speed Reading,Designer,"Kilimanjaro,No milk,No sugar",Ornate,Stale Cupcakes,"NL, HHD, PC, NH",11,11,https://www.animalcrossingportal.com/images/villagers/icons/julian.png,1st May 2020,Tier 1
210,Marina,https://vignette.wikia.nocookie.net/animalcrossing/images/9/96/NH-icon-Marina-00.png/revision/latest/scale-to-width-down/300?cb=20200224185328,Female,Normal,Octopus,June 26th (Cancer),Cancer,"""blurp""","Red Aloha Shirt (AFe+)Bubble-Gum Tee (WW, CF, NL)Dreamy Sweater (NH)",An underwater fantasy land,Tongue Twisters,Pharmacist,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Official,Soulful K.K.,"AFe+, WW, CF, NL, PC, NH",12,12,https://www.animalcrossingportal.com/images/villagers/icons/marina.png,1st May 2020,Tier 1
126,Beau,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d4/Beau_NH.png/revision/latest/scale-to-width-down/290?cb=20200501231808,Male,Lazy,Deer,April 5th (Aries),Aries,"""saltlick""",Deer Shirt,A self-indulgent picnic spot,Staying Awake,Mayor,"Mocha, Lots of milk, Three spoonfuls of sugar",Basic,Mountain Song,"NL, HHD, PC, NH",13,13,https://www.animalcrossingportal.com/images/villagers/icons/beau.png,1st May 2020,Tier 1
117,Bob,https://vignette.wikia.nocookie.net/animalcrossing/images/b/be/175px-Bob_NLa.png/revision/latest?cb=20200413200623,Male,Lazy,Cat,January 1st (Capricorn),Capricorn,"""pthhhpth""",Blossom Tee,A floral atmosphere,Yo-Yoing,Detective,"Kilamanjaro,No milk,No sugar",Flashy,K.K. Ragtime Neopolitan,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",14,14,https://www.animalcrossingportal.com/images/villagers/icons/bob.png,1st May 2020,Tier 1
390,Whitney,https://vignette.wikia.nocookie.net/animalcrossing/images/0/06/NH-icon-Whitney_00.png/revision/latest/scale-to-width-down/248?cb=20200224182330,Female,Snooty,Wolf,September 17th (Virgo),Virgo,"""snappy""",Floral Knit Tee,A home bathed in white,Typing,Makeup Artist,"Mocha, A little bit of milk,One spoonful of sugar",Ornate,Lucky K.K.,"WW, CF, NL, HHD, PC, Dōbutsu no Mori, NH",15,15,https://www.animalcrossingportal.com/images/villagers/icons/whitney.png,1st May 2020,Tier 1
145,Sherb,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d6/Sherb.png/revision/latest?cb=20200406180522,Male,Lazy,Goat,January 18th (Capricorn),Capricorn,"""bawwww""",Winter Sweater,Unknown,Talking To Bugs,Unknown,Unknown,Unknown,Hypno K.K.,"PC, NH",16,1,https://www.animalcrossingportal.com/images/villagers/icons/sherb.png,1st May 2020,Tier 2
175,Lolly,https://vignette.wikia.nocookie.net/animalcrossing/images/6/64/Lolly_NewLeaf_Official.png/revision/latest/scale-to-width-down/236?cb=20130721193353,Female,Normal,Cat,March 27th (Aries),Aries,"""bonbon""",Natty Tee,A lecture hall,Peeling Apples,Chef,"Mocha,Just a little bit of milk,One spoonful of sugar",Basic,K.K. Stroll,"AFe+, CF, NL, NH",17,2,https://www.animalcrossingportal.com/images/villagers/icons/lolly.png,1st May 2020,Tier 2
188,Molly,https://vignette.wikia.nocookie.net/animalcrossing/images/0/04/Molly.png/revision/latest/scale-to-width-down/317?cb=20200428050515,Female,Normal,Duck,March 7th (Pisces),Pisces,"""quackidee""",Canary Shirt,A publishing house,Drawing Circles,Florist,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Official,K.K. Ballad,"NL, HHD, PC, NH",18,3,https://www.animalcrossingportal.com/images/villagers/icons/molly.png,1st May 2020,Tier 2
235,Felicity,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cb/Felicity_NewLeaf_Official.png/revision/latest/scale-to-width-down/232?cb=20130721184858,Female,Peppy,Cat,March 30th (Aries),Aries,"""mimimi""",Dapper Tee,A television-show set,Rock Paper Scissors,Swimmer,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Cute,K.K. Lullaby,"AFe+, CF, NL, NH",19,4,https://www.animalcrossingportal.com/images/villagers/icons/felicity.png,1st May 2020,Tier 2
11,Kabuki,https://vignette.wikia.nocookie.net/animalcrossing/images/5/5b/Kabuki_NewLeaf_Official.png/revision/latest/scale-to-width-down/291?cb=20130818041028,Male,Cranky,Cat,November 29th (Sagittarius),Sagittarius,"""meooo-OH""","Lavender Robe (AC) Misty Tee (WW, CF, NL)",A shrine for zen items,Drawing Circles,Actor,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Historical,K.K. Folk,"AF, AF+, AC, AFe+, WW, CF, NL, NH",20,5,https://www.animalcrossingportal.com/images/villagers/icons/kabuki.png,1st May 2020,Tier 2
49,Chief,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e2/NH-icon-Chief_00.png/revision/latest/scale-to-width-down/248?cb=20200224180941,Male,Cranky,Wolf,December 19th (Sagittarius),Sagittarius,"""harrumph""",Red-Bar TeeSweater on shirt (NH),A cool garage,Speed Reading,Poet,"Blend, Lots of milk,Three spoonfuls of sugar",Iconic,Dj K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",21,6,https://www.animalcrossingportal.com/images/villagers/icons/chief.png,1st May 2020,Tier 2
119,Punchy,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c2/-Punchy_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/241?cb=20130708013206,Male,Lazy,Cat,April 11th (Aries),Aries,"""mrmpht""","GC Shirt (AF+) Cherry Shirt (AC)Gray Tartan Tee (WW, CF, NL, PC)",A room for entertaining cats,Staying Awake,Cartoonist,"Kilimanjaro,None at all,None at all",Basic,K.K. Love Song,"AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",22,7,https://www.animalcrossingportal.com/images/villagers/icons/punchy.png,1st May 2020,Tier 2
51,Fang,https://vignette.wikia.nocookie.net/animalcrossing/images/7/74/NH-icon-Fang_01.png/revision/latest/scale-to-width-down/258?cb=20200224181958,Male,Cranky,Wolf,December 18th (Sagittarius),Sagittarius,"""cha-chomp""",Icy Shirt (NL)Snowy Sweater (NH),A chair showcase,Mental Math,Hair Stylist,"Blend,Lots of milk,Three spoonfuls of sugar",Official,K.K. Calypso,"AF, AF+, AC, AFe+, CF, NL, HHD, PC, NH",23,8,https://www.animalcrossingportal.com/images/villagers/icons/fang.png,1st May 2020,Tier 2
388,Freya,https://vignette.wikia.nocookie.net/animalcrossing/images/5/50/NH-icon-Freya_00.png/revision/latest/scale-to-width-down/248?cb=20200224182111,Female,Snooty,Wolf,December 14th (Sagittarius),Sagittarius,"""uff da""",Deer Shirt,A pro chef's kitchen,Peeling Apples,Judge,"Mocha,A little bit of milk,One spoonful of sugar",Rock 'N' Roll,Rockin' K.K.,"AF, AF+, AC, AFe+, CF, NL, HHD, PC, NH",24,9,https://www.animalcrossingportal.com/images/villagers/icons/freya.png,1st May 2020,Tier 2
266,Chrissy,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f5/Chrissy_NH_pic.png/revision/latest/scale-to-width-down/260?cb=20200321123018,Female,Peppy,Rabbit,August 28th (Virgo),Virgo,"""sparkles""",Lite Polka Tee(AFe+ - PC)  Lite Polka Dress(NH),A delightfully dotted room,Staying Awake,Model,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Cute,K.K. Waltz,"AFe+, CF, NL, HHD, PC, NH",25,10,https://www.animalcrossingportal.com/images/villagers/icons/chrissy.png,1st May 2020,Tier 2
300,Muffy,https://vignette.wikia.nocookie.net/animalcrossing/images/1/16/Muffy_NH.png/revision/latest/scale-to-width-down/350?cb=20200317165954,Female,Sisterly,Sheep,February 14th (Aquarius),Aquarius,"""nightshade""",Natty Tee,An ornately decorated room,Writing About Pickles,Dermatologist,"Mocha,No milk,No sugar",Ornate,K.K. Sonata,"NL, HHD, PC, NH",26,11,https://www.animalcrossingportal.com/images/villagers/icons/muffy.png,1st May 2020,Tier 2
180,Maple,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/Maple_NewHorizons.png/revision/latest?cb=20200407222355,Female,Normal,Cub,June 15th (Gemini),Gemini,"""honey""","Citrus Gingham (AC, WW, and CF)Dapper Tee (NL)Tree sweater (NH)",A plush bear den,Writing Letters,Architect,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Basic,I Love You,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",27,12,https://www.animalcrossingportal.com/images/villagers/icons/maple.png,1st May 2020,Tier 2
40,Octavian,https://vignette.wikia.nocookie.net/animalcrossing/images/c/ce/NH-icon-Octarian-01.png/revision/latest/scale-to-width-down/283?cb=20200224185303,Male,Cranky,Octopus,September 20th (Virgo),Virgo,"""sucker""",Big-Star Tee (AF-PC)GOLD Tee (NH),A squid-showdown citadel,Trivia,Fisherman,"Blend,No milk,No sugar",Official,K.K. D & B,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",28,13,https://www.animalcrossingportal.com/images/villagers/icons/octavian.png,1st May 2020,Tier 2
69,Bam,https://vignette.wikia.nocookie.net/animalcrossing/images/b/ba/Bam_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20140210200209,Male,Jock,Deer,November 7th (Scorpio),Scorpio,"""kablang""",Green Warm-Up Jacket,A field-trip atmosphere,Backflipping,Soccer Player,"Blend,Just a little bit of milk,One spoonful of sugar",Sporty,Dj K.K.,"NL, HHD, PC, NH",29,14,https://www.animalcrossingportal.com/images/villagers/icons/bam.png,1st May 2020,Tier 2
377,Francine,https://vignette.wikia.nocookie.net/animalcrossing/images/3/34/Francine_NH.png/revision/latest/scale-to-width-down/251?cb=20200321123138,Female,Snooty,Rabbit,January 22nd (Aquarius),Aquarius,"""karat""",Dark Polka Tee (AFe+ - NL) Dark Polka Dress(NH),A Chrissy shrine,Pretending To Sleep,Designer,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Ornate,I Love You,"AFe+, CF, NL, HHD, PC, NH",30,15,https://www.animalcrossingportal.com/images/villagers/icons/francine.png,1st May 2020,Tier 2
156,Zucker,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8e/NH-icon-Zucker-00.png/revision/latest/scale-to-width-down/299?cb=20200224185341,Male,Lazy,Octopus,March 8th (Pisces),Pisces,"""bloop""",Flan Tank(NL) Happi(NH),Unknown,Baton Twirling,Chef,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Official,Spring Blossoms,"NL, HHD, NH",31,16,https://www.animalcrossingportal.com/images/villagers/icons/zucker.png,1st May 2020,Tier 2
239,Tangy,https://vignette.wikia.nocookie.net/animalcrossing/images/1/13/Tangy_NewHorizons.png/revision/latest?cb=20200407165845,Female,Peppy,Cat,June 17th (Gemini),Gemini,"""reeeeOWR""",Blue Stripe Tee,A deliciously fruity room.,Doing Handstands,Hair Stylist,"Blue Mountain, The regular amount of milk,Two spoonfuls of sugar",Flashy,K.K. Island,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH, Nintendo Land",32,17,https://www.animalcrossingportal.com/images/villagers/icons/tangy.png,1st May 2020,Tier 2
174,Kiki,https://vignette.wikia.nocookie.net/animalcrossing/images/4/4b/Kiki_NL.png/revision/latest/scale-to-width-down/247?cb=20130708021703,Female,Normal,Cat,October 8th (Libra),Libra,"""kitty cat""",Argyle Knit Shirt,A replica aquarium,Fishing,Writer,"Mocha,Just a little bit of milk,One spoonful of sugar",Basic,K.K. Country,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",33,18,https://www.animalcrossingportal.com/images/villagers/icons/kiki.png,1st May 2020,Tier 2
192,Tia,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ef/Tia_HD.png/revision/latest/scale-to-width-down/350?cb=20180518162559,Female,Normal,Elephant,November 18 (Scorpio),Scorpio,"""teacup""",Garden Tank,A space fit for a tea party,Writing Letters,Dentist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Cute,K.K. Marathon,"NL, HHD, NH",34,19,https://www.animalcrossingportal.com/images/villagers/icons/tia.png,1st May 2020,Tier 2
228,Skye,https://vignette.wikia.nocookie.net/animalcrossing/images/a/aa/NH-icon-Skye_00.png/revision/latest/scale-to-width-down/248?cb=20200224182217,Female,Normal,Wolf,March 24th (Aries),Aries,"""airmail""",Spring Shirt(NL) Peasant Blouse(NH),An art studio,Chopping Vegetables,Pastry Chef,"Kilimanjaro,No milk,No sugar",Cute,Forest Life,"NL, HHD, PC, NH",35,20,https://www.animalcrossingportal.com/images/villagers/icons/skye.png,1st May 2020,Tier 2
63,Kid Cat,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c3/-Kid_Cat_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/238?cb=20130708010443,Male,Jock,Cat,August 1st (Leo),Leo,"""psst""",No. 1 Shirt,A superhero base,Sprinting,Superhero,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Sporty,Go K.K. Rider!,"AFe+, WW, CF, HHD, PC, NH",36,21,https://www.animalcrossingportal.com/images/villagers/icons/kid-cat.png,1st May 2020,Tier 2
105,Dom,https://vignette.wikia.nocookie.net/animalcrossing/images/7/75/Dom_NH.png/revision/latest?cb=20200317175119,Male,Jock,Sheep,March 18th (Pisces),Pisces,"""indeedaroo""",Rainbow Tee (PC)Tie-dye tee (NH),Unknown,Unknown,Unknown,Unknown,Unknown,K.K. Country,"PC, NH",37,22,https://www.animalcrossingportal.com/images/villagers/icons/dom.png,1st May 2020,Tier 2
127,Erik,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a9/Erik_HD.png/revision/latest/scale-to-width-down/350?cb=20180404114430,Male,Lazy,Deer,July 27th (Leo),Leo,"""chow down""",Comfy Sweater,A cozy mountain cottage,Playing Horseshoes,Carpenter,"Mocha,Lots of milk,Three spoonfuls of sugar",Basic,Neapolitan,"NL, NH",38,23,https://www.animalcrossingportal.com/images/villagers/icons/erik.png,1st May 2020,Tier 2
197,Flurry,https://vignette.wikia.nocookie.net/animalcrossing/images/3/30/Flurry_HD.png/revision/latest/scale-to-width-down/350?cb=20180405153933,Female,Normal,Hamster,January 30th (Aquarius),Aquarius,"""powderpuff""",Folk Shirt,A winter wonderland,Peeling Apples,Superhero,"Mocha,None at all,None at all",Iconic,Hypno K.K.,"NH,NL, HHD, PC",39,24,https://www.animalcrossingportal.com/images/villagers/icons/flurry.png,1st May 2020,Tier 2
102,Genji,https://vignette.wikia.nocookie.net/animalcrossing/images/6/67/Genji_NH.png/revision/latest/scale-to-width-down/252?cb=20200322125429,Male,Jock,Rabbit,January 21st (Aquarius),Aquarius,"""mochi""",Misty Tee,A haunted house,Subsistence Living,Politician,"Blue Mountain, Lots of milk, Three spoonfuls of sugar",Iconic,King K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",40,25,https://www.animalcrossingportal.com/images/villagers/icons/genji.png,1st May 2020,Tier 2
270,Ruby,https://vignette.wikia.nocookie.net/animalcrossing/images/4/41/Ruby_NH.png/revision/latest/scale-to-width-down/252?cb=20200307202634,Female,Peppy,Rabbit,December 25th (Capricorn),Capricorn,"""li'l ears""",Bunny Tee,A room for moon gazing,Doing Handstands,Photography,"Blue Mountain, Lots of milk,  Three spoonfuls of sugar",Modern,K.K. Ska,"WW, CF, NL, HHD, NH",41,1,https://www.animalcrossingportal.com/images/villagers/icons/ruby.png,1st May 2020,Tier 3
172,Megan,https://vignette.wikia.nocookie.net/animalcrossing/images/6/6c/Megan_Poster_NH.png/revision/latest?cb=20200319193044,Female,Normal,Bear,March 13th (Pisces),Pisces,"""sundae""",Lemon Gingham Tee (PC),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"PC, NH",42,2,https://www.animalcrossingportal.com/images/villagers/icons/megan.png,1st May 2020,Tier 3
297,Mira,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d1/Mira_NH.png/revision/latest/scale-to-width-down/251?cb=20200307202330,Female,Sisterly,Rabbit,July 6th (Cancer),Cancer,"""cottontail""",Red-Zap Suit,A futuristic space,Telling Jokes,Makeup Artist,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Rock 'N' Roll,K.K. Tango,"NL, HHD, PC, NH",43,3,https://www.animalcrossingportal.com/images/villagers/icons/mira.png,1st May 2020,Tier 3
250,Apple,https://vignette.wikia.nocookie.net/animalcrossing/images/4/44/Apple_Villager.png/revision/latest?cb=20160504222447,Female,Peppy,Hamster,September 24th (Libra),Libra,"""cheekers""",Lite Polka Tee,An apple-inspired room,Karaoke,Movie Star,"Blend,The regular amount of milk,Two spoonfuls of sugar",Cute,I Love You,"NL, HHD, PC, NH",44,4,https://www.animalcrossingportal.com/images/villagers/icons/apple.png,1st May 2020,Tier 3
310,Zell,https://vignette.wikia.nocookie.net/animalcrossing/images/6/68/Zell.png/revision/latest?cb=20130605214411,Male,Smug,Deer,June 7th (Gemini),Gemini,"""pronk""",Arctic-Camo Tee,A themed hotel,Calculating Tips,Movie Director,"Blend,Just a little bit of milk,One spoonful of sugar",Modern,K.K. D & B,"NL, HHD, PC, NH",45,5,https://www.animalcrossingportal.com/images/villagers/icons/zell.png,1st May 2020,Tier 3
22,Cyd,https://vignette.wikia.nocookie.net/animalcrossing/images/5/5d/Cyd_NH.png/revision/latest?cb=20200319212643,Male,Cranky,Elephant,June 9th (Gemini),Gemini,"""rockin'""",Dragon Jacket (PC),Unknown,Unknown,Unknown,Unknown,Unknown,K.K. Metal,"PC, NH",46,6,https://www.animalcrossingportal.com/images/villagers/icons/cyd.png,1st May 2020,Tier 3
18,Apollo,https://vignette.wikia.nocookie.net/animalcrossing/images/0/0c/NH-Apollo-Render.png/revision/latest/scale-to-width-down/350?cb=20200202215708,Male,Cranky,Eagle,July 4th (Cancer),Cancer,"""pah""",Zipper Shirt,A celebration of tallness.,Staying Up Late,Pilot,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Rock 'N' Roll,K.K. Rock,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH, Dōbutsu no Mori",47,7,https://www.animalcrossingportal.com/images/villagers/icons/apollo.png,1st May 2020,Tier 3
243,Cookie,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7e/Cookie_NewLeaf_Official.png/revision/latest/scale-to-width-down/340?cb=20130721181436,Female,Peppy,Dog,June 18th (Gemini),Gemini,"""arfer""",Blue Tartan Tee,A room fit for a princess,Dancing,Actor,"Blend,None at all,None at all",Cute,Bubblegum K.K.,"AF, AF+, AC, AFe+, CF, NL, NH",48,8,https://www.animalcrossingportal.com/images/villagers/icons/cookie.png,1st May 2020,Tier 3
241,Bluebear,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e6/Bluebear_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/306?cb=20130707210538,Female,Peppy,Cub,June 24th (Cancer),Cancer,"""peach""",Lemon Gingham Tee(NL) Aran-knit Sweater(NH),A supersweet bakery,Spoon Bending,Cartoonist,"Mocha,Lots of milk,Three spoonfuls of sugar",Cute,K.K. Ska,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",49,9,https://www.animalcrossingportal.com/images/villagers/icons/bluebear.png,1st May 2020,Tier 3
194,Lily,https://vignette.wikia.nocookie.net/animalcrossing/images/8/87/Nhlily.png/revision/latest?cb=20200223062309,Female,Normal,Frog,February 4th (Aquarius),Aquarius,"""toady""",Icy Shirt,A zen space with moist air,Calligraphy,Professor,"Mocha,Just a little bit of milk,One spoonful of sugar",Cute,K.K. Salsa,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH, Nintendo Land",50,10,https://www.animalcrossingportal.com/images/villagers/icons/lily.png,1st May 2020,Tier 3
284,Deirdre,https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/Deirdre2.png/revision/latest/scale-to-width-down/334?cb=20200428051747,Female,Sisterly,Deer,May 4th (Taurus),Taurus,"""whatevs""",Fall Leaf Tee,An autumnal atmosphere,Tiptoeing,Journalist,"Blue Mountain,None at all,None at all",Historical,K.K. Cruisin',"NL, HHD, NH",51,11,https://www.animalcrossingportal.com/images/villagers/icons/deirdre.png,1st May 2020,Tier 3
186,Goldie,https://vignette.wikia.nocookie.net/animalcrossing/images/8/84/Goldie_NewLeaf_Official.png/revision/latest/scale-to-width-down/309?cb=20130721191242,Female,Normal,Dog,December 27th (Capricorn),Capricorn,"""woof""","Hippie Shirt (AC)Red Check Tee (WW)Dapper Tee (CF, NL, PC)Tweed Dress (NH)",A forest of books,Dusting,Dentist,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Bossa,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",52,12,https://www.animalcrossingportal.com/images/villagers/icons/goldie.png,1st May 2020,Tier 3
98,Roald,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7e/ROALD_New_Horizons.png/revision/latest/scale-to-width-down/350?cb=20200224042135,Male,Jock,Penguin,January 5th (Capricorn),Capricorn,"""b-b-buddy""",Café Tee (AF - PC)Red Flannel Shirt (NH),A room fit for a racer,Belly Dancing,Pro Golfer,"Mocha,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Parade,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",53,13,https://www.animalcrossingportal.com/images/villagers/icons/roald.png,1st May 2020,Tier 3
225,Poppy,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c4/Poppy_NH.png/revision/latest/scale-to-width-down/350?cb=20200309021015,Female,Normal,Squirrel,August 5th (Leo),Leo,"""nutty""","Rally Tee (CF, NL)Alpinist Dress (NH)",A pet-friendly paradise,Making Budgets,Stylist,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Modern,K.K. Lullaby,"CF, NL, HHD, PC, NH",54,14,https://www.animalcrossingportal.com/images/villagers/icons/poppy.png,1st May 2020,Tier 3
