,Name,Image,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances
314,Rooney,https://vignette.wikia.nocookie.net/animalcrossing/images/3/3d/Rooney_HD.png/revision/latest/scale-to-width-down/350?cb=20180518163952,Male,Cranky,Kangaroo,December 1st (Sagittarius),(Sagittarius),"""punches""",Black Track Jacket,A boxing gym,Doing push-ups,Boxer,"Blue Mountain,Just a little bit of milk,One spoonful of sugar",Sporty,K.K. Adventure,"NL, NH"
380,Walt,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f1/WaltNH_Render.png/revision/latest/scale-to-width-down/295?cb=20200429195525,Male,Cranky,Kangaroo,April 24th (Taurus),(Taurus),"""pockets""",Jinbei Top(NL) Casual Kimono(NH),A shrine to samurai,Rock Paper Scissors,Carpenter,"Blue Mountain,Just a little bit of milk,One spoonful of sugar",Iconic,Agent K.K.,"NL, NH"
157,Gonzo,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7f/Gonzo_HD.png/revision/latest/scale-to-width-down/350?cb=20180518164207,Male,Cranky,Koala,October 13th (Libra),(Libra),"""mate""","Earthy Knit (AF, AF+, AC, AFe+, NL)Reindeer Sweater (NH)",Unknown,Mental math,Mayor,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Unknown,K.K. D & B,"AF, AF+, AC, AFe+, NL, NH"
128,Elvis,https://vignette.wikia.nocookie.net/animalcrossing/images/b/ba/Elvis_NewLeaf_OfficialRender.png/revision/latest/scale-to-width-down/289?cb=20130709064606,Male,Cranky,Lion,July 23rd (Leo),(Leo),"""unh-hunh""",Royal Shirt,A royal palace,Competitive eating,Tycoon,"Blue Mountain, No milk, No sugar",Ornate,K.K. Casbah,"WW, CF, NL, NH"
242,Monty,https://vignette.wikia.nocookie.net/animalcrossing/images/8/87/Monty_NewLeaf_Official.png/revision/latest/scale-to-width-down/321?cb=20130721195344,Male,Cranky,Monkey,December 7th (Sagittarius),(Sagittarius),"""g'tang""",Blue-Bar Tee,A monkey mansion,Yo-yoing,Detective,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Iconic,Pondering,"WW, CF, NL, NH"
208,Limberg,https://vignette.wikia.nocookie.net/animalcrossing/images/5/53/Limberg_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130708040543,Male,Cranky,Mouse,October 17th (Libra),(Libra),"""squinky""",Subdued-Print Tee,A self-sustaining sanctuary,Making faces,Mayor,"Mocha,No milk,No sugar",Historical,K.K. Folk,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
305,Rizzo,https://vignette.wikia.nocookie.net/animalcrossing/images/e/eb/Rizzo.png/revision/latest?cb=20200428052125,Male,Cranky,Mouse,January 17th (Capricorn),(Capricorn),"""squee""",Lavender Robe (Animal Crossing)Ninja Shirt (New Leaf),A hideout,Subsistence living,Police officer,"Mocha,No milk,No sugar",Iconic,K.K. Lament,"AF, AF+, AC, AFe+, CF, NL, PC, NH"
253,Octavian,https://vignette.wikia.nocookie.net/animalcrossing/images/c/ce/NH-icon-Octarian-01.png/revision/latest/scale-to-width-down/283?cb=20200224185303,Male,Cranky,Octopus,September 20th (Virgo),(Virgo),"""sucker""",Big-Star Tee (AF-PC)GOLD Tee (NH),A squid-showdown citadel,Trivia,Fisherman,"Blend,No milk,No sugar",Official,K.K. D & B,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
173,Hopper,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cb/Hopper_NH.png/revision/latest?cb=20200226233421,Male,Cranky,Penguin,April 6th (Aries),(Aries),"""slushie""",Dragon Suit,A dharma dream,Mental math,Firefighter,"Mocha,Lots of milk,Three spoonfuls of sugar",Rock 'n' roll,Lucky K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH"
53,Boris,https://vignette.wikia.nocookie.net/animalcrossing/images/5/5e/BorisACNL.png/revision/latest?cb=20161211203109,Male,Cranky,Pig,November 6th (Scorpio),(Scorpio),"""schnort""","Kafei's Shirt (AFe+)Splendid Tee (NL, PC)",Unknown,Tongue twisters,Singer,"Kilimanjaro,Lots of milk,3 spoonfuls of sugar",Unknown,K.K. House,"AF, AF+, AC, AFe+, NL, NH"
297,Rasher,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cd/Rasher_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/276?cb=20130708042943,Male,Cranky,Pig,April 7th (Aries),(Aries),"""swine""","Fortune Shirt (AC) Rugby Tee (WW, CF, NL)",Heist central,Staying up late,CEO,"Blue Mountain,A little bit of milk,One spoonful of sugar",Rock 'n' roll,K.K. Faire,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH"
150,Gaston,https://vignette.wikia.nocookie.net/animalcrossing/images/5/59/Gaston_NH.png/revision/latest/scale-to-width-down/256?cb=20200321205410,Male,Cranky,Rabbit,October 28th (Scorpio),(Scorpio),"""mon chou""",Swell Tee,A backwater clinic,Ventriloquism,Tycoon,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Flashy,K.K. Dirge,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH"
337,Spike,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f1/Spike_NH.png/revision/latest/scale-to-width-down/350?cb=20200317172328,Male,Cranky,Rhino,June 17th (Gemini),(Gemini),"""punk""",Skull Tee(AFe+ - PC)GOLD Tee(NH),Unknown,Climbing trees,Actor,"Kilimanjaro,The regular amount of milk,2 spoonfuls of sugar",Unknown,Unknown,"AF, AF+, AC, AFe+, NL, NH"
304,Ricky,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8d/Ricky_NH.png/revision/latest?cb=20200309021120,Male,Cranky,Squirrel,September 14th (Virgo),(Virgo),"""nutcase""",Three-Ball Tee,A chiropractic office,Making faces,Detective,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Iconic,K.K. Western,"AF, AF+, AC, AFe+, NL, NH"
341,Static,https://vignette.wikia.nocookie.net/animalcrossing/images/6/68/Static_NH.png/revision/latest/scale-to-width-down/350?cb=20200317165528,Male,Cranky,Squirrel,July 9th (Cancer),(Cancer),"""krzzt""",Melon Tee,A game haven.,Backflipping,Guitarist,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Rock 'n' Roll,Surfin' K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
313,Rolf,https://vignette.wikia.nocookie.net/animalcrossing/images/9/93/Rolf_NH.png/revision/latest/scale-to-width-down/288?cb=20200308194629,Male,Cranky,Tiger,August 22nd (Leo),(Leo),"""grrrolf""",Bubble Tee (AC-NL) Down Jacket (NH),A camping collection,Doing handstands,Pro wrestler,"Mocha,A little bit of milk,One spoonful of sugar",Iconic,Spring Blossoms,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
81,Chief,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e2/NH-icon-Chief_00.png/revision/latest/scale-to-width-down/248?cb=20200224180941,Male,Cranky,Wolf,December 19th (Sagittarius),(Sagittarius),"""harrumph""",Red-Bar TeeSweater on shirt (NH),A cool garage,Speed reading,Poet,"Blend, Lots of milk,Three spoonfuls of sugar",Iconic,DJ K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
114,Dobie,https://vignette.wikia.nocookie.net/animalcrossing/images/f/fd/NH-icon-Dobie_00.png/revision/latest/scale-to-width-down/248?cb=20200224181928,Male,Cranky,Wolf,February 17th (Aquarius),(Aquarius),"""ohmmm""",Blue Aloha Shirt AFe+Sweater Vest NL,Unknown,Speed reading,Writer,"Mocha,A little bit of milk,1 spoonful of sugar",Official,K.K. Lament,"AF+, AC, AFe+, NL , NH"
132,Fang,https://vignette.wikia.nocookie.net/animalcrossing/images/7/74/NH-icon-Fang_01.png/revision/latest/scale-to-width-down/258?cb=20200224181958,Male,Cranky,Wolf,December 18th (Sagittarius),(Sagittarius),"""cha-chomp""",Icy Shirt (NL)Snowy Sweater (NH),A chair showcase,Mental Math,Hair stylist,"Blend,Lots of milk,Three spoonfuls of sugar",Official,K.K. Calypso,"AF, AF+, AC, AFe+, CF, NL, HHD, PC, NH"
210,Lobo,https://vignette.wikia.nocookie.net/animalcrossing/images/4/46/NH-icon-Lobo_00.png/revision/latest/scale-to-width-down/248?cb=20200224182155,Male,Cranky,Wolf,November 5th (Scorpio),(Scorpio),"""ah-rooooo""",Checkered Tee,A nostalgic throwback,Fishing,Forest ranger,"Blend,Lots of milk,Three spoonfuls of sugar",Historical,K.K. Safari,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
387,Wolfgang,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7d/NH-icon-Wolfgang_00.png/revision/latest/scale-to-width-down/248?cb=20200224182348,Male,Cranky,Wolf,November 25th (Sagittarius),(Sagittarius),"""snarrrl""",Gracie Tank(NL) Flight Jacket(NH),A monument to rock,Memorizing stuff,Journalist,"Blend, Lots of milk,  Three spoonfuls of sugar",Modern,K.K. Song,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
52,Boots,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7c/Boots_HD.png/revision/latest/scale-to-width-down/350?cb=20180518155728,Male,Jock,Alligator,August 7th (Leo),(Leo),"""munchie""",Jester Shirt,Unknown,Writing Backwards,Sumo Wrestler,"Blue Mountain,Lots of milk,3 spoonfuls of sugar",Unknown,K.K. Rally,"AF, AF+, AC, AFe+, NL, PC, NH"
332,Sly,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c6/Sly_HHD.png/revision/latest?cb=20161213012341,Male,Jock,Alligator,November 15th (Scorpio),(Scorpio),"""hoo-rah""",Jungle-Camo Tee,A jungle,Pretending to sleep,Explorer,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Rock 'n' roll,K.K. Safari,"NL, NH"
15,Antonio,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e5/Antonio_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130818040026,Male,Jock,Anteater,October 20th (Libra),(Libra),"""honk""",Big-Star TeeBone tee (NH),A place decorated simply,Playing horseshoes,Baseball player,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Basic,K.K. Faire,"AFe+, WW, CF, NL, HHD, PC, NH"
358,Teddy,https://vignette.wikia.nocookie.net/animalcrossing/images/0/0f/-Teddy_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/241?cb=20130708013554,Male,Jock,Bear,September 26th (Libra),(Libra),"""grooof""",Club Tee,An awards podium,Playing old maid,Police officer,"Blend, The regular amount of milk, Two spoonfuls of sugar",Basic,Mr. K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
182,Jay,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f4/Jay_NewLeaf_Official.png/revision/latest/scale-to-width-down/313?cb=20130721212323,Male,Jock,Bird,July 17th (Cancer),(Cancer),"""heeeeeyy""",Six-Ball Tee,A bowling alley,Tongue Twisters,Race car driver,"Killimanjaro, None at all, None at all",Sporty,K.K. Waltz,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH"
184,Jitters,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8d/Jitters_NL.png/revision/latest/scale-to-width-down/267?cb=20131006041145,Male,Jock,Bird,February 2nd (Aquarius),(Aquarius),"""bzzert""",Soccer Tee,A soccer arena,Playing catch,Soccer player,"Kilimanjaro, None at all, None at all",Sporty,K.K. Samba,"WW, CF, NL, HHD, PC, NH"
271,Peck,https://vignette.wikia.nocookie.net/animalcrossing/images/5/51/HNI_0009.png/revision/latest?cb=20161229005802,Male,Jock,Bird,July 25th (Leo),(Leo),"""crunch""",Gray Tank(NL) Raglan Tee(NH),A birdcage,Rock Paper Scissors,Firefighter,"Blend,Lots of milk,Three spoonfuls of sugar",Sporty,Forest Life,"NL, HHD, NH"
336,Sparro,https://vignette.wikia.nocookie.net/animalcrossing/images/b/ba/Sparro_HD.png/revision/latest/scale-to-width-down/350?cb=20180613022323,Male,Jock,Bird,November 20th (Scorpio),(Scorpio),"""like whoa""",BB Tee,A place to retire,Playing Poker,Musician,"Blend,Lots of milk,Three spoonfuls of sugar",Historical,Steep Hill,"NL, NH"
90,Coach,https://vignette.wikia.nocookie.net/animalcrossing/images/9/98/Coach_HHD.png/revision/latest?cb=20160624003056,Male,Jock,Bull,April 29th (Taurus),(Taurus),"""stubble""",Relay Tank,A gym for athletic contests,Eating quickly,Fisherman,"Blend,Lots of milk,Three spoonfuls of sugar",Sporty,Marine Song 2001,"NL, NH"
196,Kid Cat,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c3/-Kid_Cat_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/238?cb=20130708010443,Male,Jock,Cat,August 1st (Leo),(Leo),"""psst""",No. 1 Shirt,A superhero base,Sprinting,Superhero,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Sporty,Go K.K. Rider!,"AFe+, WW, CF, HHD, PC, NH"
320,Rudy,https://vignette.wikia.nocookie.net/animalcrossing/images/3/35/Rudy_HD.png/revision/latest/scale-to-width-down/350?cb=20180917123841,Male,Jock,Cat,December 20th (Sagittarius),(Sagittarius),"""mush""",Red-Grid Tee NLSimple Parka NH,A chess room,Cramming for tests,Artist,"Mocha,Just a little bit of milk,One spoonful of sugar",Sporty,The K. Funk,"NL, NH"
