,Rank,Name,Image,Updated Date,Tier
25,11.,Muffy,https://www.animalcrossingportal.com/images/villagers/icons/muffy.png,1st May 2020,Tier 2
26,12.,Maple,https://www.animalcrossingportal.com/images/villagers/icons/maple.png,1st May 2020,Tier 2
27,13.,Octavian,https://www.animalcrossingportal.com/images/villagers/icons/octavian.png,1st May 2020,Tier 2
28,14.,Bam,https://www.animalcrossingportal.com/images/villagers/icons/bam.png,1st May 2020,Tier 2
29,15.,Francine,https://www.animalcrossingportal.com/images/villagers/icons/francine.png,1st May 2020,Tier 2
30,16.,Zucker,https://www.animalcrossingportal.com/images/villagers/icons/zucker.png,1st May 2020,Tier 2
31,17.,Tangy,https://www.animalcrossingportal.com/images/villagers/icons/tangy.png,1st May 2020,Tier 2
32,18.,Kiki,https://www.animalcrossingportal.com/images/villagers/icons/kiki.png,1st May 2020,Tier 2
33,19.,Tia,https://www.animalcrossingportal.com/images/villagers/icons/tia.png,1st May 2020,Tier 2
34,20.,Skye,https://www.animalcrossingportal.com/images/villagers/icons/skye.png,1st May 2020,Tier 2
35,21.,Kid Cat,https://www.animalcrossingportal.com/images/villagers/icons/kid-cat.png,1st May 2020,Tier 2
36,22.,Dom,https://www.animalcrossingportal.com/images/villagers/icons/dom.png,1st May 2020,Tier 2
37,23.,Erik,https://www.animalcrossingportal.com/images/villagers/icons/erik.png,1st May 2020,Tier 2
38,24.,Flurry,https://www.animalcrossingportal.com/images/villagers/icons/flurry.png,1st May 2020,Tier 2
39,25.,Genji,https://www.animalcrossingportal.com/images/villagers/icons/genji.png,1st May 2020,Tier 2
40,1.,Ruby,https://www.animalcrossingportal.com/images/villagers/icons/ruby.png,1st May 2020,Tier 3
41,2.,Megan,https://www.animalcrossingportal.com/images/villagers/icons/megan.png,1st May 2020,Tier 3
42,3.,Mira,https://www.animalcrossingportal.com/images/villagers/icons/mira.png,1st May 2020,Tier 3
43,4.,Apple,https://www.animalcrossingportal.com/images/villagers/icons/apple.png,1st May 2020,Tier 3
44,5.,Zell,https://www.animalcrossingportal.com/images/villagers/icons/zell.png,1st May 2020,Tier 3
45,6.,Cyd,https://www.animalcrossingportal.com/images/villagers/icons/cyd.png,1st May 2020,Tier 3
46,7.,Apollo,https://www.animalcrossingportal.com/images/villagers/icons/apollo.png,1st May 2020,Tier 3
47,8.,Cookie,https://www.animalcrossingportal.com/images/villagers/icons/cookie.png,1st May 2020,Tier 3
48,9.,Bluebear,https://www.animalcrossingportal.com/images/villagers/icons/bluebear.png,1st May 2020,Tier 3
49,10.,Lily,https://www.animalcrossingportal.com/images/villagers/icons/lily.png,1st May 2020,Tier 3
50,11.,Deirdre,https://www.animalcrossingportal.com/images/villagers/icons/deirdre.png,1st May 2020,Tier 3
51,12.,Goldie,https://www.animalcrossingportal.com/images/villagers/icons/goldie.png,1st May 2020,Tier 3
52,13.,Roald,https://www.animalcrossingportal.com/images/villagers/icons/roald.png,1st May 2020,Tier 3
53,14.,Poppy,https://www.animalcrossingportal.com/images/villagers/icons/poppy.png,1st May 2020,Tier 3
54,15.,Bunnie,https://www.animalcrossingportal.com/images/villagers/icons/bunnie.png,1st May 2020,Tier 3
55,16.,Ketchup,https://www.animalcrossingportal.com/images/villagers/icons/ketchup.png,1st May 2020,Tier 3
56,17.,Pietro,https://www.animalcrossingportal.com/images/villagers/icons/pietro.png,1st May 2020,Tier 3
57,18.,Fuchsia,https://www.animalcrossingportal.com/images/villagers/icons/fuchsia.png,1st May 2020,Tier 3
58,19.,Cheri,https://www.animalcrossingportal.com/images/villagers/icons/cheri.png,1st May 2020,Tier 3
59,20.,Cherry,https://www.animalcrossingportal.com/images/villagers/icons/cherry.png,1st May 2020,Tier 3
60,21.,June,https://www.animalcrossingportal.com/images/villagers/icons/june.png,1st May 2020,Tier 3
61,22.,Bill,https://www.animalcrossingportal.com/images/villagers/icons/bill.png,1st May 2020,Tier 3
62,23.,Snake,https://www.animalcrossingportal.com/images/villagers/icons/snake.png,1st May 2020,Tier 3
63,24.,Pashmina,https://www.animalcrossingportal.com/images/villagers/icons/pashmina.png,1st May 2020,Tier 3
64,25.,Olivia,https://www.animalcrossingportal.com/images/villagers/icons/olivia.png,1st May 2020,Tier 3
65,26.,Rosie,https://www.animalcrossingportal.com/images/villagers/icons/rosie.png,1st May 2020,Tier 3
66,27.,Wolfgang,https://www.animalcrossingportal.com/images/villagers/icons/wolfgang.png,1st May 2020,Tier 3
67,28.,Kyle,https://www.animalcrossingportal.com/images/villagers/icons/kyle.png,1st May 2020,Tier 3
68,29.,Carmen,https://www.animalcrossingportal.com/images/villagers/icons/carmen.png,1st May 2020,Tier 3
69,30.,Bea,https://www.animalcrossingportal.com/images/villagers/icons/bea.png,1st May 2020,Tier 3
70,1.,Dobie,https://www.animalcrossingportal.com/images/villagers/icons/dobie.png,1st May 2020,Tier 4
71,2.,Bangle,https://www.animalcrossingportal.com/images/villagers/icons/bangle.png,1st May 2020,Tier 4
72,3.,Reneigh,https://www.animalcrossingportal.com/images/villagers/icons/reneigh.png,1st May 2020,Tier 4
73,4.,Mitzi,https://www.animalcrossingportal.com/images/villagers/icons/mitzi.png,1st May 2020,Tier 4
74,5.,Jacques,https://www.animalcrossingportal.com/images/villagers/icons/jacques.png,1st May 2020,Tier 4
75,6.,Sprinkle,https://www.animalcrossingportal.com/images/villagers/icons/sprinkle.png,1st May 2020,Tier 4
76,7.,Bianca,https://www.animalcrossingportal.com/images/villagers/icons/bianca.png,1st May 2020,Tier 4
77,8.,Flora,https://www.animalcrossingportal.com/images/villagers/icons/flora.png,1st May 2020,Tier 4
78,9.,Static,https://www.animalcrossingportal.com/images/villagers/icons/static.png,1st May 2020,Tier 4
79,10.,Moe,https://www.animalcrossingportal.com/images/villagers/icons/moe.png,1st May 2020,Tier 4
80,11.,Ribbot,https://www.animalcrossingportal.com/images/villagers/icons/ribbot.png,1st May 2020,Tier 4
81,12.,Colton,https://www.animalcrossingportal.com/images/villagers/icons/colton.png,1st May 2020,Tier 4
82,13.,Lobo,https://www.animalcrossingportal.com/images/villagers/icons/lobo.png,1st May 2020,Tier 4
83,14.,Billy,https://www.animalcrossingportal.com/images/villagers/icons/billy.png,1st May 2020,Tier 4
84,15.,Chevre,https://www.animalcrossingportal.com/images/villagers/icons/chevre.png,1st May 2020,Tier 4
85,16.,Tammy,https://www.animalcrossingportal.com/images/villagers/icons/tammy.png,1st May 2020,Tier 4
86,17.,Peanut,https://www.animalcrossingportal.com/images/villagers/icons/peanut.png,1st May 2020,Tier 4
87,18.,Hamlet,https://www.animalcrossingportal.com/images/villagers/icons/hamlet.png,1st May 2020,Tier 4
88,19.,Purrl,https://www.animalcrossingportal.com/images/villagers/icons/purrl.png,1st May 2020,Tier 4
89,20.,Blanche,https://www.animalcrossingportal.com/images/villagers/icons/blanche.png,1st May 2020,Tier 4
90,21.,Nan,https://www.animalcrossingportal.com/images/villagers/icons/nan.png,1st May 2020,Tier 4
91,22.,Tom,https://www.animalcrossingportal.com/images/villagers/icons/tom.png,1st May 2020,Tier 4
92,23.,Hazel,https://www.animalcrossingportal.com/images/villagers/icons/hazel.png,1st May 2020,Tier 4
93,24.,Lucky,https://www.animalcrossingportal.com/images/villagers/icons/lucky.png,1st May 2020,Tier 4
94,25.,Pekoe,https://www.animalcrossingportal.com/images/villagers/icons/pekoe.png,1st May 2020,Tier 4
95,26.,Vesta,https://www.animalcrossingportal.com/images/villagers/icons/vesta.png,1st May 2020,Tier 4
96,27.,Lopez,https://www.animalcrossingportal.com/images/villagers/icons/lopez.png,1st May 2020,Tier 4
97,28.,Rudy,https://www.animalcrossingportal.com/images/villagers/icons/rudy.png,1st May 2020,Tier 4
98,29.,Agent S,https://www.animalcrossingportal.com/images/villagers/icons/agent-s.png,1st May 2020,Tier 4
99,30.,Willow,https://www.animalcrossingportal.com/images/villagers/icons/willow.png,1st May 2020,Tier 4
100,31.,Shep,https://www.animalcrossingportal.com/images/villagers/icons/shep.png,1st May 2020,Tier 4
101,32.,Roscoe,https://www.animalcrossingportal.com/images/villagers/icons/roscoe.png,1st May 2020,Tier 4
102,33.,Celia,https://www.animalcrossingportal.com/images/villagers/icons/celia.png,1st May 2020,Tier 4
103,34.,Pecan,https://www.animalcrossingportal.com/images/villagers/icons/pecan.png,1st May 2020,Tier 4
104,35.,Hornsby,https://www.animalcrossingportal.com/images/villagers/icons/hornsby.png,1st May 2020,Tier 4
105,36.,Ellie,https://www.animalcrossingportal.com/images/villagers/icons/ellie.png,1st May 2020,Tier 4
106,37.,Kidd,https://www.animalcrossingportal.com/images/villagers/icons/kidd.png,1st May 2020,Tier 4
107,38.,Papi,https://www.animalcrossingportal.com/images/villagers/icons/papi.png,1st May 2020,Tier 4
108,39.,Frita,https://www.animalcrossingportal.com/images/villagers/icons/frita.png,1st May 2020,Tier 4
109,40.,Bruce,https://www.animalcrossingportal.com/images/villagers/icons/bruce.png,1st May 2020,Tier 4
110,1.,Alfonso,https://www.animalcrossingportal.com/images/villagers/icons/alfonso.png,1st May 2020,Tier 5
111,2.,Ava,https://www.animalcrossingportal.com/images/villagers/icons/ava.png,1st May 2020,Tier 5
112,3.,Alice,https://www.animalcrossingportal.com/images/villagers/icons/alice.png,1st May 2020,Tier 5
113,4.,Agnes,https://www.animalcrossingportal.com/images/villagers/icons/agnes.png,1st May 2020,Tier 5
114,5.,Amelia,https://www.animalcrossingportal.com/images/villagers/icons/amelia.png,1st May 2020,Tier 5
115,6.,Antonio,https://www.animalcrossingportal.com/images/villagers/icons/antonio.png,1st May 2020,Tier 5
116,6.,Anabelle,https://www.animalcrossingportal.com/images/villagers/icons/anabelle.png,1st May 2020,Tier 5
117,7.,Angus,https://www.animalcrossingportal.com/images/villagers/icons/angus.png,1st May 2020,Tier 5
118,8.,Annalisa,https://www.animalcrossingportal.com/images/villagers/icons/annalisa.png,1st May 2020,Tier 5
119,9.,Annalise,https://www.animalcrossingportal.com/images/villagers/icons/annalise.png,1st May 2020,Tier 5
120,10.,Aurora,https://www.animalcrossingportal.com/images/villagers/icons/aurora.png,1st May 2020,Tier 5
121,11.,Avery,https://www.animalcrossingportal.com/images/villagers/icons/avery.png,1st May 2020,Tier 5
122,12.,Axel,https://www.animalcrossingportal.com/images/villagers/icons/axel.png,1st May 2020,Tier 5
123,13.,Baabara,https://www.animalcrossingportal.com/images/villagers/icons/baabara.png,1st May 2020,Tier 5
124,14.,Beardo,https://www.animalcrossingportal.com/images/villagers/icons/beardo.png,1st May 2020,Tier 5
125,15.,Bella,https://www.animalcrossingportal.com/images/villagers/icons/bella.png,1st May 2020,Tier 5
126,16.,Benjamin,https://www.animalcrossingportal.com/images/villagers/icons/benjamin.png,1st May 2020,Tier 5
127,17.,Biskit,https://www.animalcrossingportal.com/images/villagers/icons/biskit.png,1st May 2020,Tier 5
128,18.,Blaire,https://www.animalcrossingportal.com/images/villagers/icons/blaire.png,1st May 2020,Tier 5
129,19.,Bonbon,https://www.animalcrossingportal.com/images/villagers/icons/bonbon.png,1st May 2020,Tier 5
130,20.,Bones,https://www.animalcrossingportal.com/images/villagers/icons/bones.png,1st May 2020,Tier 5
131,21.,Boomer,https://www.animalcrossingportal.com/images/villagers/icons/boomer.png,1st May 2020,Tier 5
132,22.,Boots,https://www.animalcrossingportal.com/images/villagers/icons/boots.png,1st May 2020,Tier 5
133,23.,Bree,https://www.animalcrossingportal.com/images/villagers/icons/bree.png,1st May 2020,Tier 5
134,24.,Butch,https://www.animalcrossingportal.com/images/villagers/icons/butch.png,1st May 2020,Tier 5
135,25.,Bud,https://www.animalcrossingportal.com/images/villagers/icons/bud.png,1st May 2020,Tier 5
136,26.,Cally,https://www.animalcrossingportal.com/images/villagers/icons/cally.png,1st May 2020,Tier 5
137,27.,Camofrog,https://www.animalcrossingportal.com/images/villagers/icons/camofrog.png,1st May 2020,Tier 5
138,28.,Canberra,https://www.animalcrossingportal.com/images/villagers/icons/canberra.png,1st May 2020,Tier 5
139,29.,Caroline,https://www.animalcrossingportal.com/images/villagers/icons/caroline.png,1st May 2020,Tier 5
140,30.,Charlise,https://www.animalcrossingportal.com/images/villagers/icons/charlise.png,1st May 2020,Tier 5
141,31.,Chester,https://www.animalcrossingportal.com/images/villagers/icons/chester.png,1st May 2020,Tier 5
142,32.,Clay,https://www.animalcrossingportal.com/images/villagers/icons/clay.png,1st May 2020,Tier 5
143,33.,Cole,https://www.animalcrossingportal.com/images/villagers/icons/cole.png,1st May 2020,Tier 5
144,34.,Cousteau,https://www.animalcrossingportal.com/images/villagers/icons/cousteau.png,1st May 2020,Tier 5
145,35.,Cranston,https://www.animalcrossingportal.com/images/villagers/icons/cranston.png,1st May 2020,Tier 5
146,36.,Cube,https://www.animalcrossingportal.com/images/villagers/icons/cube.png,1st May 2020,Tier 5
147,37.,Curlos,https://www.animalcrossingportal.com/images/villagers/icons/curlos.png,1st May 2020,Tier 5
148,38.,Daisy,https://www.animalcrossingportal.com/images/villagers/icons/daisy.png,1st May 2020,Tier 5
149,39.,Del,https://www.animalcrossingportal.com/images/villagers/icons/del.png,1st May 2020,Tier 5
150,40.,Deli,https://www.animalcrossingportal.com/images/villagers/icons/deli.png,1st May 2020,Tier 5
151,41.,Diva,https://www.animalcrossingportal.com/images/villagers/icons/diva.png,1st May 2020,Tier 5
152,42.,Dizzy,https://www.animalcrossingportal.com/images/villagers/icons/dizzy.png,1st May 2020,Tier 5
153,43.,Doc,https://www.animalcrossingportal.com/images/villagers/icons/doc.png,1st May 2020,Tier 5
154,44.,Dora,https://www.animalcrossingportal.com/images/villagers/icons/dora.png,1st May 2020,Tier 5
155,45.,Dotty,https://www.animalcrossingportal.com/images/villagers/icons/dotty.png,1st May 2020,Tier 5
156,46.,Drift,https://www.animalcrossingportal.com/images/villagers/icons/drift.png,1st May 2020,Tier 5
157,47.,Elmer,https://www.animalcrossingportal.com/images/villagers/icons/elmer.png,1st May 2020,Tier 5
158,48.,Elvis,https://www.animalcrossingportal.com/images/villagers/icons/elvis.png,1st May 2020,Tier 5
159,49.,Eugene,https://www.animalcrossingportal.com/images/villagers/icons/eugene.png,1st May 2020,Tier 5
160,50.,Eunice,https://www.animalcrossingportal.com/images/villagers/icons/eunice.png,1st May 2020,Tier 5
161,51.,Filbert,https://www.animalcrossingportal.com/images/villagers/icons/filbert.png,1st May 2020,Tier 5
162,52.,Frank,https://www.animalcrossingportal.com/images/villagers/icons/frank.png,1st May 2020,Tier 5
163,53.,Friga,https://www.animalcrossingportal.com/images/villagers/icons/friga.png,1st May 2020,Tier 5
164,54.,Gabi,https://www.animalcrossingportal.com/images/villagers/icons/gabi.png,1st May 2020,Tier 5
165,55.,Gala,https://www.animalcrossingportal.com/images/villagers/icons/gala.png,1st May 2020,Tier 5
166,56.,Gaston,https://www.animalcrossingportal.com/images/villagers/icons/gaston.png,1st May 2020,Tier 5
167,57.,Gayle,https://www.animalcrossingportal.com/images/villagers/icons/gayle.png,1st May 2020,Tier 5
168,58.,Gladys,https://www.animalcrossingportal.com/images/villagers/icons/gladys.png,1st May 2020,Tier 5
169,59.,Graham,https://www.animalcrossingportal.com/images/villagers/icons/graham.png,1st May 2020,Tier 5
170,60.,Groucho,https://www.animalcrossingportal.com/images/villagers/icons/groucho.png,1st May 2020,Tier 5
171,61.,Gwen,https://www.animalcrossingportal.com/images/villagers/icons/gwen.png,1st May 2020,Tier 5
172,62.,Hamphrey,https://www.animalcrossingportal.com/images/villagers/icons/hamphrey.png,1st May 2020,Tier 5
173,63.,Hans,https://www.animalcrossingportal.com/images/villagers/icons/hans.png,1st May 2020,Tier 5
174,64.,Henry,https://www.animalcrossingportal.com/images/villagers/icons/henry.png,1st May 2020,Tier 5
175,65.,Hopkins,https://www.animalcrossingportal.com/images/villagers/icons/hopkins.png,1st May 2020,Tier 5
176,66.,Hopper,https://www.animalcrossingportal.com/images/villagers/icons/hopper.png,1st May 2020,Tier 5
177,67.,Jay,https://www.animalcrossingportal.com/images/villagers/icons/jay.png,1st May 2020,Tier 5
178,68.,Jeremiah,https://www.animalcrossingportal.com/images/villagers/icons/jeremiah.png,1st May 2020,Tier 5
179,69.,Julia,https://www.animalcrossingportal.com/images/villagers/icons/julia.png,1st May 2020,Tier 5
180,70.,Katt,https://www.animalcrossingportal.com/images/villagers/icons/katt.png,1st May 2020,Tier 5
181,71.,Kitty,https://www.animalcrossingportal.com/images/villagers/icons/kitty.png,1st May 2020,Tier 5
182,72.,Keaton,https://www.animalcrossingportal.com/images/villagers/icons/keaton.png,1st May 2020,Tier 5
183,73.,Leonardo,https://www.animalcrossingportal.com/images/villagers/icons/leonardo.png,1st May 2020,Tier 5
184,73.,Merry,https://www.animalcrossingportal.com/images/villagers/icons/merry.png,1st May 2020,Tier 5
185,74.,Ken,https://www.animalcrossingportal.com/images/villagers/icons/ken.png,1st May 2020,Tier 5
186,75.,Drago,https://www.animalcrossingportal.com/images/villagers/icons/drago.png,1st May 2020,Tier 5
187,76.,Kody,https://www.animalcrossingportal.com/images/villagers/icons/kody.png,1st May 2020,Tier 5
188,77.,Leopold,https://www.animalcrossingportal.com/images/villagers/icons/leopold.png,1st May 2020,Tier 5
189,78.,Lionel,https://www.animalcrossingportal.com/images/villagers/icons/lionel.png,1st May 2020,Tier 5
190,79.,Lucy,https://www.animalcrossingportal.com/images/villagers/icons/lucy.png,1st May 2020,Tier 5
191,80.,Lyman,https://www.animalcrossingportal.com/images/villagers/icons/lyman.png,1st May 2020,Tier 5
192,81.,Maddie,https://www.animalcrossingportal.com/images/villagers/icons/maddie.png,1st May 2020,Tier 5
193,82.,Margie,https://www.animalcrossingportal.com/images/villagers/icons/margie.png,1st May 2020,Tier 5
194,83.,Melba,https://www.animalcrossingportal.com/images/villagers/icons/melba.png,1st May 2020,Tier 5
195,84.,Midge,https://www.animalcrossingportal.com/images/villagers/icons/midge.png,1st May 2020,Tier 5
196,85.,Mint,https://www.animalcrossingportal.com/images/villagers/icons/mint.png,1st May 2020,Tier 5
197,86.,Monique,https://www.animalcrossingportal.com/images/villagers/icons/monique.png,1st May 2020,Tier 5
198,87.,Mott,https://www.animalcrossingportal.com/images/villagers/icons/mott.png,1st May 2020,Tier 5
199,88.,Murphy,https://www.animalcrossingportal.com/images/villagers/icons/murphy.png,1st May 2020,Tier 5
200,89.,Nana,https://www.animalcrossingportal.com/images/villagers/icons/nana.png,1st May 2020,Tier 5
201,90.,Naomi,https://www.animalcrossingportal.com/images/villagers/icons/naomi.png,1st May 2020,Tier 5
202,91.,Nate,https://www.animalcrossingportal.com/images/villagers/icons/nate.png,1st May 2020,Tier 5
203,92.,Nibbles,https://www.animalcrossingportal.com/images/villagers/icons/nibbles.png,1st May 2020,Tier 5
204,93.,OHare,https://www.animalcrossingportal.com/images/villagers/icons/ohare.png,1st May 2020,Tier 5
205,94.,Olaf,https://www.animalcrossingportal.com/images/villagers/icons/olaf.png,1st May 2020,Tier 5
206,95.,Olive,https://www.animalcrossingportal.com/images/villagers/icons/olive.png,1st May 2020,Tier 5
207,96.,Ozzie,https://www.animalcrossingportal.com/images/villagers/icons/ozzie.png,1st May 2020,Tier 5
208,97.,Patty,https://www.animalcrossingportal.com/images/villagers/icons/patty.png,1st May 2020,Tier 5
209,98.,Peck,https://www.animalcrossingportal.com/images/villagers/icons/peck.png,1st May 2020,Tier 5
210,99.,Phil,https://www.animalcrossingportal.com/images/villagers/icons/phil.png,1st May 2020,Tier 5
211,100.,Pierce,https://www.animalcrossingportal.com/images/villagers/icons/pierce.png,1st May 2020,Tier 5
212,101.,Piper,https://www.animalcrossingportal.com/images/villagers/icons/piper.png,1st May 2020,Tier 5
213,102.,Pinky,https://www.animalcrossingportal.com/images/villagers/icons/pinky.png,1st May 2020,Tier 5
214,103.,Poncho,https://www.animalcrossingportal.com/images/villagers/icons/poncho.png,1st May 2020,Tier 5
215,104.,Portia,https://www.animalcrossingportal.com/images/villagers/icons/portia.png,1st May 2020,Tier 5
216,105.,Puddles,https://www.animalcrossingportal.com/images/villagers/icons/puddles.png,1st May 2020,Tier 5
217,106.,Pudge,https://www.animalcrossingportal.com/images/villagers/icons/pudge.png,1st May 2020,Tier 5
218,107.,Raddle,https://www.animalcrossingportal.com/images/villagers/icons/raddle.png,1st May 2020,Tier 5
219,108.,Renee,https://www.animalcrossingportal.com/images/villagers/icons/renee.png,1st May 2020,Tier 5
220,109.,Rocket,https://www.animalcrossingportal.com/images/villagers/icons/rocket.png,1st May 2020,Tier 5
221,110.,Rod,https://www.animalcrossingportal.com/images/villagers/icons/rod.png,1st May 2020,Tier 5
222,111.,Rolf,https://www.animalcrossingportal.com/images/villagers/icons/rolf.png,1st May 2020,Tier 5
223,112.,Rooney,https://www.animalcrossingportal.com/images/villagers/icons/rooney.png,1st May 2020,Tier 5
224,113.,Rowan,https://www.animalcrossingportal.com/images/villagers/icons/rowan.png,1st May 2020,Tier 5
225,114.,Sally,https://www.animalcrossingportal.com/images/villagers/icons/sally.png,1st May 2020,Tier 5
226,115.,Savannah,https://www.animalcrossingportal.com/images/villagers/icons/savannah.png,1st May 2020,Tier 5
227,116.,Scoot,https://www.animalcrossingportal.com/images/villagers/icons/scoot.png,1st May 2020,Tier 5
228,117.,Shari,https://www.animalcrossingportal.com/images/villagers/icons/shari.png,1st May 2020,Tier 5
229,118.,Sheldon,https://www.animalcrossingportal.com/images/villagers/icons/sheldon.png,1st May 2020,Tier 5
230,119.,Simon,https://www.animalcrossingportal.com/images/villagers/icons/simon.png,1st May 2020,Tier 5
231,120.,Sly,https://www.animalcrossingportal.com/images/villagers/icons/sly.png,1st May 2020,Tier 5
232,121.,Soleil,https://www.animalcrossingportal.com/images/villagers/icons/soleil.png,1st May 2020,Tier 5
233,122.,Sparro,https://www.animalcrossingportal.com/images/villagers/icons/sparro.png,1st May 2020,Tier 5
234,123.,Stella,https://www.animalcrossingportal.com/images/villagers/icons/stella.png,1st May 2020,Tier 5
235,124.,Sterling,https://www.animalcrossingportal.com/images/villagers/icons/sterling.png,1st May 2020,Tier 5
236,125.,Stinky,https://www.animalcrossingportal.com/images/villagers/icons/stinky.png,1st May 2020,Tier 5
237,126.,Stu,https://www.animalcrossingportal.com/images/villagers/icons/stu.png,1st May 2020,Tier 5
238,127.,Sydney,https://www.animalcrossingportal.com/images/villagers/icons/sydney.png,1st May 2020,Tier 5
239,128.,Sylvana,https://www.animalcrossingportal.com/images/villagers/icons/sylvana.png,1st May 2020,Tier 5
240,129.,Tabby,https://www.animalcrossingportal.com/images/villagers/icons/tabby.png,1st May 2020,Tier 5
241,130.,Tank,https://www.animalcrossingportal.com/images/villagers/icons/tank.png,1st May 2020,Tier 5
242,131.,Teddy,https://www.animalcrossingportal.com/images/villagers/icons/teddy.png,1st May 2020,Tier 5
243,132.,Tiffany,https://www.animalcrossingportal.com/images/villagers/icons/tiffany.png,1st May 2020,Tier 5
244,133.,Timbra,https://www.animalcrossingportal.com/images/villagers/icons/timbra.png,1st May 2020,Tier 5
245,134.,Tipper,https://www.animalcrossingportal.com/images/villagers/icons/tipper.png,1st May 2020,Tier 5
246,135.,Tucker,https://www.animalcrossingportal.com/images/villagers/icons/tucker.png,1st May 2020,Tier 5
247,136.,Tutu,https://www.animalcrossingportal.com/images/villagers/icons/tutu.png,1st May 2020,Tier 5
248,137.,Twiggy,https://www.animalcrossingportal.com/images/villagers/icons/twiggy.png,1st May 2020,Tier 5
249,138.,Vivian,https://www.animalcrossingportal.com/images/villagers/icons/vivian.png,1st May 2020,Tier 5
250,1.,Admiral,https://www.animalcrossingportal.com/images/villagers/icons/admiral.png,1st May 2020,Tier 6
251,2.,Al,https://www.animalcrossingportal.com/images/villagers/icons/al.png,1st May 2020,Tier 6
252,3.,Alli,https://www.animalcrossingportal.com/images/villagers/icons/alli.png,1st May 2020,Tier 6
253,4.,Anchovy,https://www.animalcrossingportal.com/images/villagers/icons/anchovy.png,1st May 2020,Tier 6
254,5.,Anicotti,https://www.animalcrossingportal.com/images/villagers/icons/anicotti.png,1st May 2020,Tier 6
255,7.,Astrid,https://www.animalcrossingportal.com/images/villagers/icons/astrid.png,1st May 2020,Tier 6
256,8.,Barold,https://www.animalcrossingportal.com/images/villagers/icons/barold.png,1st May 2020,Tier 6
257,9.,Becky,https://www.animalcrossingportal.com/images/villagers/icons/becky.png,1st May 2020,Tier 6
258,10.,Benedict,https://www.animalcrossingportal.com/images/villagers/icons/benedict.png,1st May 2020,Tier 6
259,11.,Bertha,https://www.animalcrossingportal.com/images/villagers/icons/bertha.png,1st May 2020,Tier 6
260,12.,Bettina,https://www.animalcrossingportal.com/images/villagers/icons/bettina.png,1st May 2020,Tier 6
261,13.,Big Top,https://www.animalcrossingportal.com/images/villagers/icons/big-top.png,1st May 2020,Tier 6
262,14.,Biff,https://www.animalcrossingportal.com/images/villagers/icons/biff.png,1st May 2020,Tier 6
263,15.,Bitty,https://www.animalcrossingportal.com/images/villagers/icons/bitty.png,1st May 2020,Tier 6
264,16.,Boone,https://www.animalcrossingportal.com/images/villagers/icons/boone.png,1st May 2020,Tier 6
