,Name,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances,Rank_Overall,Rank,Image,Updated Date,Tier
190,Lucy,Female,Normal,Pig,June 2nd (Gemini),Gemini,"""snoooink""",Natty Tee,A creepy-looking dollhouse.,Baton Twirling,Tour Guide,"Mocha,No milk,No sugar",Cute,Comrade K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",239,128,https://www.animalcrossingportal.com/images/villagers/icons/lucy.png,15th May 2020,Tier 5
106,Kidd,Male,Smug,Goat,June 28th (Cancer),Cancer,"""wut""",Blue Aloha Shirt (AFe+)Waistcoat (NL),A photography studio,Blowing Bubbles,Hair Stylist,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Official,Comrade K.K.,"AFe+, NL NL, PC, NH",230,119,https://www.animalcrossingportal.com/images/villagers/icons/kidd.png,15th May 2020,Tier 5
185,Ken,Male,Smug,Chicken,December 23rd (Capricorn),Capricorn,"""no doubt""",Ninja Shirt,A ninja hideout,Clearing My Plate,Architect,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Iconic,Comrade K.K.,"NL, NH",228,117,https://www.animalcrossingportal.com/images/villagers/icons/ken.png,15th May 2020,Tier 5
328,Marcel,Male,Lazy,Dog,December 31st (Capricorn),Capricorn,"""non""",Chichi-Print Tee,A zen-like washroom,Eating Frequently,Artist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Iconic,Comrade K.K.,"CF, NL, NH",243,132,https://www.animalcrossingportal.com/images/villagers/icons/marcel.png,15th May 2020,Tier 5
28,Bam,Male,Jock,Deer,November 7th (Scorpio),Scorpio,"""kablang""",Green Warm-Up Jacket,A field-trip atmosphere,Backflipping,Soccer Player,"Blend,Just a little bit of milk,One spoonful of sugar",Sporty,Dj K.K.,"NL, HHD, PC, NH",49,9,https://www.animalcrossingportal.com/images/villagers/icons/bam.png,15th May 2020,Tier 3
98,Agent S,Female,Peppy,Squirrel,July 2nd (Cancer),Cancer,"""sidekick""",No. 2 Shirt,A superhero training area,Limboing,Dancer,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Sporty,Dj K.K.,"AFe+, WW, CF, NL, HHD, PC, NH",113,2,https://www.animalcrossingportal.com/images/villagers/icons/agent-s.png,15th May 2020,Tier 5
20,Chief,Male,Cranky,Wolf,December 19th (Sagittarius),Sagittarius,"""harrumph""",Red-Bar TeeSweater on shirt (NH),A cool garage,Speed Reading,Poet,"Blend, Lots of milk,Three spoonfuls of sugar",Iconic,Dj K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",73,3,https://www.animalcrossingportal.com/images/villagers/icons/chief.png,15th May 2020,Tier 4
184,Merry,Female,Peppy,Cat,June 29th (Cancer),Cancer,"""mweee""",Daisy Tee,An artsy room for sketching,Vaulting,Figure Skater,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Cute,Dj K.K.,"AFe+, CF, NL, PC, NH",86,16,https://www.animalcrossingportal.com/images/villagers/icons/merry.png,15th May 2020,Tier 4
139,Caroline,Female,Normal,Squirrel,July 15th (Cancer),Cancer,"""hulaaaa""",Gelato Tee,A rustic ranch house,Yo-Yoing,Volleyball Player,"Kilamanjaro,A little bit of milk,One spoonful of sugar",Cute,Dj K.K.,"WW, CF, NL, NH",155,44,https://www.animalcrossingportal.com/images/villagers/icons/caroline.png,15th May 2020,Tier 5
226,Savannah,Female,Normal,Horse,January 25th (Aquarius),Aquarius,"""y'all""",Deep-Blue Tee,A home with natural beauty.,Calculating Tips,Tour Guide,"Kilimanjaro,No milk,No sugar",Modern,Forest Life,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",84,14,https://www.animalcrossingportal.com/images/villagers/icons/savannah.png,15th May 2020,Tier 4
34,Skye,Female,Normal,Wolf,March 24th (Aries),Aries,"""airmail""",Spring Shirt(NL) Peasant Blouse(NH),An art studio,Chopping Vegetables,Pastry Chef,"Kilimanjaro,No milk,No sugar",Cute,Forest Life,"NL, HHD, PC, NH",32,17,https://www.animalcrossingportal.com/images/villagers/icons/skye.png,15th May 2020,Tier 2
110,Alfonso,Male,Lazy,Alligator,June 9th (Gemini),Gemini,"""it'sa me""",Big Bro's Tee (AF-PC) Simple Parka  (New Horizons) ,A starry-sky cake dream,Fishing,Cartoonist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Basic,Forest Life,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",115,4,https://www.animalcrossingportal.com/images/villagers/icons/alfonso.png,15th May 2020,Tier 5
326,Maggie,Female,Normal,Pig,September 3rd (Virgo),Virgo,"""schep""","Yodel Shirt (AFe+)Mint Shirt (NL, PC)Green Pintuck-Pleated Dress(NH)",Garage code,Memorizing Stuff,Gymnast,"Blend,The regular amount of milk,2 spoonfuls of sugar",Unknown,Forest Life,"AFe+, NL, NH",282,31,https://www.animalcrossingportal.com/images/villagers/icons/maggie.png,15th May 2020,Tier 6
335,Opal,Female,Snooty,Elephant,January 20th (Aquarius),Aquarius,"""snoot""",Gray Tartan Tee,A serene spa,Memorizing Stuff,Doctor,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Official,Forest Life,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",304,51,https://www.animalcrossingportal.com/images/villagers/icons/opal.png,15th May 2020,Tier 6
230,Simon,Male,Lazy,Monkey,January 19th (Capricorn),Capricorn,"""zzzook""",Red-Bar Tee,A banana bungalow,Memorizing Stuff,Movie Director,"Blend,  No milk,  No sugar",Sporty,Forest Life,"WW, CF, NL, NH",352,99,https://www.animalcrossingportal.com/images/villagers/icons/simon.png,15th May 2020,Tier 6
209,Peck,Male,Jock,Bird,July 25th (Leo),Leo,"""crunch""",Gray Tank(NL) Raglan Tee(NH),A birdcage,Rock Paper Scissors,Firefighter,"Blend,Lots of milk,Three spoonfuls of sugar",Sporty,Forest Life,"NL, HHD, NH",313,60,https://www.animalcrossingportal.com/images/villagers/icons/peck.png,15th May 2020,Tier 6
130,Bones,Male,Lazy,Dog,August 4th (Leo),Leo,"""yip yip""",Caveman Tank,A second childhood,Telling Jokes,Explorer,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Historical,Forest Life,"AF, AF+, AC, AFe+, WW, CF, NL, NH",93,22,https://www.animalcrossingportal.com/images/villagers/icons/bones.png,15th May 2020,Tier 4
192,Maddie,Female,Peppy,Dog,January 11th (Capricorn),Capricorn,"""yippee""","Fortune Shirt (AF, AF+, AC, AFe+) Picnic Tee (HHD, NL)Layered Sleeveless Dress (NH)",A stationary room,Tongue Twisters,Tour Guide,"Blue mountain, lots of milk, 3 spoonfuls of sugar",Unknown,Forest Life,"AF, AF+, AC, AFe+, HHD (Discontinued DLC), NL, NH",242,131,https://www.animalcrossingportal.com/images/villagers/icons/maddie.png,15th May 2020,Tier 5
236,Stinky,Male,Jock,Cat,August 17th (Leo),Leo,"""GAHHHH""",Splendid Tee,A pro-wrestling ring,Chugging Milk,Rugby Player,"Blue Mountain, The regular amount of milk,Two spoonfuls of sugar",Sporty,Go K.K. Rider!,"AF, AF+, AC, AFe+, CF, NL, NH",359,106,https://www.animalcrossingportal.com/images/villagers/icons/stinky.png,15th May 2020,Tier 6
364,Samson,Male,Jock,Mouse,July 5 (Cancer),Cancer,"""pipsqueak""",Airy Tee,A room with treasure,Eating Frequently,Photographer,"Mocha,  No milk,  No sugar",Modern,Go K.K. Rider!,"AF, AF+, AC, AFe+, WW, CF, NL, NH",350,97,https://www.animalcrossingportal.com/images/villagers/icons/samson.png,15th May 2020,Tier 6
35,Kid Cat,Male,Jock,Cat,August 1st (Leo),Leo,"""psst""",No. 1 Shirt,A superhero base,Sprinting,Superhero,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Sporty,Go K.K. Rider!,"AFe+, WW, CF, HHD, PC, NH",53,13,https://www.animalcrossingportal.com/images/villagers/icons/kid-cat.png,15th May 2020,Tier 3
80,Ribbot,Male,Jock,Frog,February 13th (Aquarius),Aquarius,"""zzrrbbitt""","Pulse Shirt Lightning Tee (NL, PC)",A robohouse,Ventriloquism,Astronaut,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Flashy,Go K.K. Rider!,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",336,83,https://www.animalcrossingportal.com/images/villagers/icons/ribbot.png,15th May 2020,Tier 6
38,Flurry,Female,Normal,Hamster,January 30th (Aquarius),Aquarius,"""powderpuff""",Folk Shirt,A winter wonderland,Peeling Apples,Superhero,"Mocha,None at all,None at all",Iconic,Hypno K.K.,"NH,NL, HHD, PC",42,2,https://www.animalcrossingportal.com/images/villagers/icons/flurry.png,15th May 2020,Tier 3
15,Sherb,Male,Lazy,Goat,January 18th (Capricorn),Capricorn,"""bawwww""",Winter Sweater,Unknown,Talking To Bugs,Unknown,Unknown,Unknown,Hypno K.K.,"PC, NH",3,3,https://www.animalcrossingportal.com/images/villagers/icons/sherb.png,15th May 2020,Tier 1
107,Papi,Male,Lazy,Horse,January 10th (Capricorn),Capricorn,"""haaay""",Speedway Tee,A wood-inspired abode,Ventriloquism,Cartoonist,"Blue Mountain,  The regular amount of milk,  Two spoonfuls of sugar",Basic,Hypno K.K.,"NL, NH",92,21,https://www.animalcrossingportal.com/images/villagers/icons/papi.png,15th May 2020,Tier 4
309,Huck,Male,Smug,Frog,July 9th (Cancer),Cancer,"""hopper""",Melon Gingham,Unknown,Clearing My Plate,Architect,"Mocha, a little bit of milk, 1 spoonful of sugar",Unknown,I Love You,"AF, AF+, AC, AFe+, NL, NH",275,24,https://www.animalcrossingportal.com/images/villagers/icons/huck.png,15th May 2020,Tier 6
43,Apple,Female,Peppy,Hamster,September 24th (Libra),Libra,"""cheekers""",Lite Polka Tee,An apple-inspired room,Karaoke,Movie Star,"Blend,The regular amount of milk,Two spoonfuls of sugar",Cute,I Love You,"NL, HHD, PC, NH",36,21,https://www.animalcrossingportal.com/images/villagers/icons/apple.png,15th May 2020,Tier 2
255,Astrid,Female,Snooty,Kangaroo,September 8th (Virgo),Virgo,"""my pet""",Star Tee,A playful rock studio,Karaoke,Singer,"Blue Mountain,Just a little bit of milk,One spoonful of sugar",Rock 'N' Roll,I Love You,"AF, AF+, AC, AFe+, CF, NL, HHD, PC, NH",117,6,https://www.animalcrossingportal.com/images/villagers/icons/astrid.png,15th May 2020,Tier 5
175,Hopkins,Male,Lazy,Rabbit,March 11th (Pisces),Pisces,"""thumper""",Racer Tee (AFe+ - PC) Blue Stripe Tee(NH),Unknown,Oversleeping,Chef,"Blend, None at all, None at all",Sporty,I Love You,"AFe+, NL, PC, NH",216,105,https://www.animalcrossingportal.com/images/villagers/icons/hopkins.png,15th May 2020,Tier 5
29,Francine,Female,Snooty,Rabbit,January 22nd (Aquarius),Aquarius,"""karat""",Dark Polka Tee (AFe+ - NL) Dark Polka Dress(NH),A Chrissy shrine,Pretending To Sleep,Designer,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Ornate,I Love You,"AFe+, CF, NL, HHD, PC, NH",110,39,https://www.animalcrossingportal.com/images/villagers/icons/francine.png,15th May 2020,Tier 4
258,Benedict,Male,Lazy,Chicken,October 10th (Libra),Libra,"""uh-hoo""",Two-Ball Tee,A journey through space,Remembering Stuff,Poet,"Mocha,Just a little bit of milk,One spoonful of sugar",Historical,I Love You,"AFe+, WW, CF, NH",133,22,https://www.animalcrossingportal.com/images/villagers/icons/benedict.png,15th May 2020,Tier 5
26,Maple,Female,Normal,Cub,June 15th (Gemini),Gemini,"""honey""","Citrus Gingham (AC, WW, and CF)Dapper Tee (NL)Tree sweater (NH)",A plush bear den,Writing Letters,Architect,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Basic,I Love You,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",31,16,https://www.animalcrossingportal.com/images/villagers/icons/maple.png,15th May 2020,Tier 2
186,Drago,Male,Lazy,Alligator,February 12th (Aquarius),Aquarius,"""burrrn""",Dragon Suit,A mochi delight,Blowing Bubbles,Pilot,"Kilimanjaro, Just a little bit of milk,One spoonful of sugar",Iconic,Imperial K.K.,"NL, HHD, PC, NH",68,28,https://www.animalcrossingportal.com/images/villagers/icons/drago.png,15th May 2020,Tier 3
365,Snooty,Female,Snooty,Anteater,October 24th (Scorpio),Scorpio,"""snifffff""",Blossoming Shirt AFe+Misty Shirt NL,Unknown,Calligraphy,Archaeologist,"Kilimanjaro, A little bit of milk,1 spoonful of sugar",Historical,Imperial K.K.,"AF, AF+, AC, AFe+, NL, NH",354,101,https://www.animalcrossingportal.com/images/villagers/icons/snooty.png,15th May 2020,Tier 6
94,Pekoe,Female,Normal,Cub,May 18th (Taurus),Taurus,"""bud""",Hot Spring Tee NL)Silk Floral-Print Shirt (NH),An exotic resort,Doodling,Aesthetician,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Iconic,Imperial K.K.,"CF, NL, HHD, PC, NH",62,22,https://www.animalcrossingportal.com/images/villagers/icons/pekoe.png,15th May 2020,Tier 3
213,Pinky,Female,Peppy,Bear,September 9th (Virgo),Virgo,"""wah""",Dazed Tee,A feng-shui flow,Hula Dancing,Cartoonist,"Blend,The regular amount of milk,Two spoonfuls of sugar",Cute,Imperial K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",321,68,https://www.animalcrossingportal.com/images/villagers/icons/pinky.png,15th May 2020,Tier 6
371,Tammi,Female,Peppy,Monkey,April 2nd (Aries),Aries,"""chimpy""",New Spring Tee,Unknown,Making Puns,Artist,"Mocha,  The regular amount of milk,  Two spoonfuls of sugar",Flashy,Imperial K.K.,"WW, CF, NL, NH",366,112,https://www.animalcrossingportal.com/images/villagers/icons/tammi.png,15th May 2020,Tier 6
144,Cousteau,Male,Jock,Frog,December 17th (Sagittarius),Sagittarius,"""oui oui""",Rally Tee,A restaurant for exotic food,Telling Jokes,Ceo,"Blue mountain,The regular amount of milk,Two spoonfuls of sugar",Iconic,Imperial K.K.,"AF, AF+, AC, AFe+, CF, NL, NH",171,60,https://www.animalcrossingportal.com/images/villagers/icons/cousteau.png,15th May 2020,Tier 5
141,Chester,Male,Lazy,Cub,August 6th (Leo),Leo,"""rookie""",Yellow-Bar Tee,Unknown,Trivia,Teacher,"Blend,Just a little bit of milk,One spoonful of sugar",Basic,Imperial K.K.,"CF, NL, NH",161,50,https://www.animalcrossingportal.com/images/villagers/icons/chester.png,15th May 2020,Tier 5
151,Diva,Female,Sisterly,Frog,October 2nd (Libra),Libra,"""ya know""","Amethyst Tee(NL, HHD)Amethyst Tank(PC)Palatial Tank Dress(NH)",A place with good vibes,Home Repair,Hair Stylist,"Kilimanjaro,None at all,None at all",Ornate,K.K.  Bazaar,"NL, HHD, PC, NH",182,71,https://www.animalcrossingportal.com/images/villagers/icons/diva.png,15th May 2020,Tier 5
211,Pierce,Male,Jock,Eagle,January 8th (Capricorn),Capricorn,"""hawkeye""",Circus ShirtCamel Shirt (NL),A classy training room,Playing Catch,Rugby Player,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Sporty,K.K. Étude,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",318,65,https://www.animalcrossingportal.com/images/villagers/icons/pierce.png,15th May 2020,Tier 6
90,Nan,Female,Normal,Goat,August 24th (Virgo),Virgo,"""kid""",Citrus Gingham ShirtStraw Shirt (NL),A zodiac-figurine stand,Playing Horseshoes,Illustrator,"Blue Mountain,None at all,None at all",Basic,K.K. Étude,"AFe+, WW, CF, NL, NH",101,30,https://www.animalcrossingportal.com/images/villagers/icons/nan.png,15th May 2020,Tier 4
99,Willow,Female,Snooty,Sheep,November 26th (Sagittarius),Sagittarius,"""bo peep""",Bad Plaid Tee,An alpine-themed home,Playing Old Maid,Designer,"Mocha,  No milk,  No sugar",Cute,K.K. Étude,"AFe+, CF, NL, NH",388,134,https://www.animalcrossingportal.com/images/villagers/icons/willow.png,15th May 2020,Tier 6
378,Velma,Female,Snooty,Goat,January 14th (Capricorn),Capricorn,"""blih""","Cool Shirt,Swell Tee (NL)",A fully outfitted classroom,Speed Reading,Lawyer,"Mocha,Lots of milk,Three spoonfuls of sugar",Official,K.K. Étude,"AF, AF+, AC, AFe+, NL NH",251,140,https://www.animalcrossingportal.com/images/villagers/icons/velma.png,15th May 2020,Tier 5
181,Kitty,Female,Snooty,Cat,February 15th (Aquarius),Aquarius,"""mrowrr""",Crewel Tee,A sidewalk bistro,Writing Letters,Ceo,"Kilimanjaro,None at all,None at all",Official,K.K. Étude,"AF, AF+, AC, AFe+, CF, NL, NH",226,115,https://www.animalcrossingportal.com/images/villagers/icons/kitty.png,15th May 2020,Tier 5
220,Rocket,Female,Sisterly,Gorilla,April 14th (Aries),Aries,"""vroom""",No. 4 Shirt,A superhero hideout,Cramming For Tests,Swimmer,"Kilimanjaro, The regular amount of milk, Two spoonfuls of sugar",Sporty,K.K. Adventure,"NL, NH",341,88,https://www.animalcrossingportal.com/images/villagers/icons/rocket.png,15th May 2020,Tier 6
223,Rooney,Male,Cranky,Kangaroo,December 1st (Sagittarius),Sagittarius,"""punches""",Black Track Jacket,A boxing gym,Doing Push-Ups,Boxer,"Blue Mountain,Just a little bit of milk,One spoonful of sugar",Sporty,K.K. Adventure,"NL, NH",346,93,https://www.animalcrossingportal.com/images/villagers/icons/rooney.png,15th May 2020,Tier 6
67,Kyle,Male,Smug,Wolf,December 6th (Sagittarius),Sagittarius,"""alpha""",Pleather Vest (NL)Gilet and Shirt (NH),A piped room.,Typing,Singer,"Blue Mountain,Regular amount of milk,Two spoonfuls of sugar",Rock 'N' Roll,K.K. Adventure,"NL, HHD, PC, NH",33,18,https://www.animalcrossingportal.com/images/villagers/icons/kyle.png,15th May 2020,Tier 2
102,Celia,Female,Normal,Eagle,March 25th (Aries),Aries,"""feathers""",Loud-Bloom Tee,A royal chamber,Brainteasers,Florist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Cute,K.K. Aria,"NL, HHD, PC, NH",158,47,https://www.animalcrossingportal.com/images/villagers/icons/celia.png,15th May 2020,Tier 5
320,Knox,Male,Cranky,Chicken,November 23rd (Sagittarius),Sagittarius,"""cluckling""",Cavalier Shirt,A battle enthusiast's abode,Calculating Tips,Firefighter,"Blend,Lots of milk,Three spoonfuls of sugar",Iconic,K.K. Aria,"CF, NL, NH",233,122,https://www.animalcrossingportal.com/images/villagers/icons/knox.png,15th May 2020,Tier 5
329,Marcie,Female,Normal,Kangaroo,May 31st (Gemini),Gemini,"""pouches""",Pink Tartan Tee,A nursery school,Memorizing Stuff,Teacher,"Mocha,None at all,None at all",Cute,K.K. Aria,"NL, NH",283,32,https://www.animalcrossingportal.com/images/villagers/icons/marcie.png,15th May 2020,Tier 6
60,June,Female,Normal,Cub,May 21st (Gemini),Gemini,"""rainbow""","Red Aloha Shirt (AFe+)Garden Tank (NL, PC)",Unknown,Photography,Pharmacist ,"Blue Mountain,No milk,No sugar",Unknown,K.K. Aria,"AF+, AC, AFe+, NL, PC,NH",225,114,https://www.animalcrossingportal.com/images/villagers/icons/june.png,15th May 2020,Tier 5
54,Bunnie,Female,Peppy,Rabbit,May 9th (Taurus),Taurus,"""tee-hee""","Flicker Shirt (AF, AF+, AC, AFe+) Jade Check Tee (WW, CF, NL, PC) Jade Check Dress (NH)",A perpetual birthday party,Staying Positive,Gymnast,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Cute,K.K. Aria,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",61,21,https://www.animalcrossingportal.com/images/villagers/icons/bunnie.png,15th May 2020,Tier 3
257,Becky,Female,Snooty,Chicken,December 9th (Sagittarius),Sagittarius,"""chicklet""","Kaffe's Shirt (AFe+)Noble Shirt (CF, NL)Renaissance dress (NH)",A classical conservatory,Writing Letters,Singer,"Mocha,Just a little bit of milk,One spoonful of sugar",Ornate,K.K. Aria,"AFe+, CF, NL, NH",254,3,https://www.animalcrossingportal.com/images/villagers/icons/becky.png,15th May 2020,Tier 6
17,Molly,Female,Normal,Duck,March 7th (Pisces),Pisces,"""quackidee""",Canary Shirt,A publishing house,Drawing Circles,Florist,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Official,K.K. Ballad,"NL, HHD, PC, NH",17,2,https://www.animalcrossingportal.com/images/villagers/icons/molly.png,15th May 2020,Tier 2
292,Ed,Male,Smug,Horse,September 16th (Virgo),Virgo,"""greenhorn""","Mod Top (GCN)  Lite Polka Tee (CF, NL)",A spontaneous dinner party,Juggling,Singer,"Blue Mountain, The regular amount of milk, Two spoonfuls of sugar",Flashy,K.K. Ballad,"AF, AF+, AC, AFe+, CF, NL, New Horizons",189,78,https://www.animalcrossingportal.com/images/villagers/icons/ed.png,15th May 2020,Tier 5
